,办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,日平均在线窗口数,前台人数,评价率,满意率
251,24416020300,2.49,15,1.18,4.82,564,162,17.4,8,12,1.65,100
252,24416210700,20,2,0.88,12.49,10,5,2.9,3,6,66.67,100
253,24416210400,18.18,8,0.89,15.75,10,11,1.7,2,6,72.73,100
254,24416210100,6.98,12,1.16,8.56,455,96,19,6,10,1.92,100
255,24416210600,19.51,2,1.22,16.97,10,7,2.5,2,5,63.41,100
256,24416210300,0,4,0,6.17,35,6,0,3,3,83.33,100
257,24416230200,4.38,4,6.43,6.43,10,23,7.4,3,4,48.18,100
258,24416230800,21.35,3,1.24,25.54,37,47,3.7,5,8,69.75,100
259,24416230600,50,2,0,21.4,0,3,0,2,3,83.33,100
260,24416010005,16.23,5,1.88,19.71,17,14,2.2,2,8,61.26,100
261,24416220100,8.09,10,3.46,9.31,133,95,12.6,7,12,17.25,100
262,24416221000,7.58,3,1.27,15.89,5,7,0.4,2,5,69.7,100
263,24418210100,43.04,11,2.87,28.66,205,79,30.7,5,22,95.19,100
264,24418020300,30.19,10,0.98,23.51,1417,246,26.9,11,51,87.33,100
265,24418020400,34.56,16,1.08,28.05,1759,449,-3.1,17,60,96.2,100
266,24418270100,27.95,16,0.96,19.64,1320,202,-0.6,10,40,94.39,100
267,24418970200,14.87,4,0.53,13.79,196,33,6.4,3,6,75.65,100
268,24418970300,37.75,9,1.31,24.06,269,41,17.9,4,6,94.74,99.96
269,24418970100,20.83,8,1.35,13.79,302,66,-6.3,7,17,91.09,100
270,24418810100,19.16,9,2.18,17.24,355,105,-1.2,7,27,74.75,100
271,24418820100,14.16,13,1.42,13.38,674,152,-1.1,8,18,98.5,100
272,24418230400,13.82,11,1.5,13.72,491,130,123.3,7,24,95.82,99.97
273,24408810900,14.29,1,0,36.97,38,7,0,3,18,0,0
274,24408020006,53.81,10,2.18,36.19,923,216,21,14,33,0,0
275,24408231000,0,0,0,0.55,5,1,0,1,7,100,100
276,24408821100,27.57,3,0.65,25,197,30,12,4,10,0,0
277,24408030010,15.33,11,2.09,13.18,1063,297,-3.9,26,44,34.11,100
278,24408110900,31.41,8,1.17,15.53,193,36,53,5,10,0,0
279,24451970100,22.48,1,0.95,41.5,56,9,4.9,2,11,1.44,100
280,24451980100,3.7,2,3.23,5.1,8,11,1.3,3,8,81.48,100
281,24451021500,18.64,3,0.89,18.25,466,29,21.9,5,12,0.06,100
282,24451221100,25.38,2,0.5,30.86,124,16,3.6,3,15,34.04,100
283,24404960700,40.63,13,1.4,24.69,365,109,19,8,20,7.96,100
284,24404901400,38.99,13,2.04,48.56,724,237,17.6,16,45,0.01,100
285,24404901300,33.8,23,1.17,26.37,993,294,17.2,13,35,0.28,100
286,24404210200,37.16,14,2.54,25.78,880,241,47.5,14,35,48.28,99.99
